id,name,required_skills,posted
1956,MegaConstruct,"metal cutting, repair, safety, pouring",2025-07-08
1957,TilePro Solutions,"fabrication, waterproofing, testing, insulation, electric systems",2025-07-30
1958,SteelWorks Inc.,"fabrication, budgeting, green building, tiles, installation",2025-07-05
1959,SafeElectro,"tools, solar panels, pipe fitting, multi-trade skills, pouring",2025-07-27
1960,QuickBuild,"welding, circuits, reinforcement, circuit design",2025-07-24
1961,PowerLine Engineers,"solar panels, testing, electrician, waterproofing, energy efficiency",2025-07-20
1962,ConcreteMasters,"framing, reinforcement, circuit design, solar panels, drywall",2025-06-30
1963,PowerLine Engineers,"inspection, welding, testing",2025-06-19
1964,ABC Constructions,"framing, metal cutting, blueprint reading, drywall",2025-07-04
1965,PlumbWell Services,"circuit design, project management, pipe fitting, finishing, insulation",2025-07-28
1966,FreshCo Homes,"circuits, reinforcement, drywall",2025-06-06
1967,SteelWorks Inc.,"pouring, construction, water systems",2025-06-26
1968,TilePro Solutions,"water systems, plumbing, tiles, HV lines",2025-07-02
1969,PlumbWell Services,"concrete mixing, waterproofing, water systems, welding",2025-07-21
1970,ABC Constructions,"project management, carpentry, safety",2025-07-22
1971,FixItAll,"maintenance, metal cutting, blueprint reading",2025-07-09
1972,PowerLine Engineers,"carpentry, multi-trade skills, welding, HV lines",2025-06-18
1973,ABC Constructions,"carpentry, green building, tiles, water systems, electric systems",2025-06-08
1974,FixItAll,"installation, HV lines, electrician, leadership, reinforcement",2025-06-18
1975,PlumbWell Services,"tiles, drywall, multi-trade skills",2025-07-17
1976,UrbanGrid Energy,"tiles, HV lines, electrician",2025-06-20
1977,SteelWorks Inc.,"tools, testing, solar panels",2025-06-14
1978,ConcreteMasters,"metal cutting, carpentry, solar panels",2025-07-16
1979,GreenBuild Tech,"blueprint reading, budgeting, multi-trade skills, finishing, reinforcement",2025-07-30
1980,UrbanGrid Energy,"welding, finishing, reinforcement",2025-07-25
1981,PowerLine Engineers,"installation, insulation, fabrication, tiles",2025-07-21
1982,BuildRight Co.,"water systems, framing, tools, electric systems, design",2025-06-09
1983,FixItAll,"installation, plumbing, drywall, repair",2025-07-18
1984,UrbanGrid Energy,"fabrication, green building, electric systems",2025-07-26
1985,UrbanGrid Energy,"plumbing, leadership, pouring, installation, fabrication",2025-07-29
1986,GreenBuild Tech,"solar panels, concrete mixing, circuits, tools",2025-06-30
1987,GreenBuild Tech,"plumbing, metal cutting, circuits, tiles",2025-06-07
1988,FixItAll,"pouring, HV lines, multi-trade skills",2025-07-16
1989,SafeElectro,"testing, circuit design, repair",2025-07-29
1990,UrbanGrid Energy,"welding, electric systems, HV lines, inspection",2025-07-09
1991,PlumbWell Services,"water systems, pouring, testing",2025-07-22
1992,FixItAll,"construction, installation, insulation, plumbing, fabrication",2025-06-01
1993,MegaConstruct,"tools, waterproofing, budgeting",2025-07-04
1994,QuickBuild,"plumbing, HV lines, framing",2025-06-28
1995,QuickBuild,"drywall, leadership, waterproofing",2025-06-20
1996,FixItAll,"design, metal cutting, plumbing",2025-07-25
1997,PlumbWell Services,"safety, masonry, solar panels, budgeting",2025-07-01
1998,ABC Constructions,"leadership, HV lines, maintenance, electrician",2025-06-02
1999,TilePro Solutions,"finishing, budgeting, carpentry, repair",2025-07-05
2000,PowerLine Engineers,"safety protocols, electrician, finishing, drywall",2025-07-25
2001,QuickBuild,"pipe fitting, installation, circuit design",2025-07-22
2002,ConcreteMasters,"pipe fitting, design, project management, maintenance, blueprint reading",2025-06-03
2003,UrbanGrid Energy,"framing, drywall, construction, fabrication, electrician",2025-06-15
2004,SafeElectro,"leadership, reinforcement, safety",2025-07-11
2005,TilePro Solutions,"repair, waterproofing, solar panels, circuit design",2025-07-01
2006,ConcreteMasters,"finishing, waterproofing, tools",2025-06-08
2007,SafeElectro,"metal cutting, blueprint reading, tools, framing",2025-07-12
2008,MegaConstruct,"metal cutting, construction, pipe fitting",2025-07-20
2009,SafeElectro,"insulation, circuits, drywall",2025-06-13
2010,UrbanGrid Energy,"project management, pouring, multi-trade skills, circuit design",2025-06-16
2011,TilePro Solutions,"pouring, installation, carpentry, pipe fitting",2025-07-07
2012,PowerFix Ltd,"welding, multi-trade skills, plumbing, pipe fitting, testing",2025-07-29
2013,UrbanGrid Energy,"project management, water systems, pipe fitting",2025-07-17
2014,PlumbWell Services,"energy efficiency, testing, circuits, fabrication",2025-06-28
2015,ConcreteMasters,"water systems, drywall, plumbing, pipe fitting, installation",2025-07-03
2016,PowerLine Engineers,"energy efficiency, maintenance, metal cutting, plumbing, blueprint reading",2025-07-21
2017,PowerFix Ltd,"maintenance, blueprint reading, budgeting, water systems, construction",2025-06-13
2018,SteelWorks Inc.,"energy efficiency, reinforcement, repair, fabrication, circuit design",2025-07-03
2019,ABC Constructions,"concrete mixing, installation, insulation, budgeting, circuit design",2025-07-26
2020,ConcreteMasters,"construction, carpentry, masonry, finishing",2025-06-24
2021,PlumbWell Services,"water systems, circuit design, carpentry, safety, multi-trade skills",2025-07-25
2022,SafeElectro,"fabrication, finishing, repair",2025-07-19
2023,GreenBuild Tech,"concrete mixing, finishing, safety, fabrication",2025-06-06
2024,PowerLine Engineers,"inspection, plumbing, electrician, concrete mixing",2025-06-26
2025,PlumbWell Services,"carpentry, masonry, waterproofing",2025-06-13
2026,FixItAll,"HV lines, fabrication, testing, inspection, pipe fitting",2025-07-12
2027,MegaConstruct,"waterproofing, pouring, testing, metal cutting, maintenance",2025-07-03
2028,PowerLine Engineers,"circuit design, framing, construction, pouring",2025-07-12
2029,ABC Constructions,"framing, drywall, HV lines, energy efficiency",2025-06-10
2030,PowerFix Ltd,"leadership, safety, framing",2025-07-01
2031,QuickBuild,"carpentry, reinforcement, plumbing, HV lines",2025-07-10
2032,MegaConstruct,"testing, leadership, water systems, framing, welding",2025-06-03
2033,SteelWorks Inc.,"carpentry, testing, circuits",2025-06-11
2034,FixItAll,"multi-trade skills, tools, waterproofing, fabrication, HV lines",2025-07-07
2035,SteelWorks Inc.,"electrician, circuits, metal cutting, welding",2025-06-03
2036,FixItAll,"testing, framing, pouring, tools, carpentry",2025-06-05
2037,TilePro Solutions,"energy efficiency, tools, maintenance, solar panels",2025-07-12
2038,PowerFix Ltd,"tiles, welding, carpentry, solar panels, energy efficiency",2025-06-02
2039,MegaConstruct,"finishing, fabrication, circuits, welding, insulation",2025-07-15
2040,FreshCo Homes,"circuits, repair, pouring, energy efficiency",2025-07-08
2041,MegaConstruct,"installation, construction, tools, water systems",2025-06-22
2042,QuickBuild,"masonry, insulation, installation, tools",2025-06-19
2043,FixItAll,"water systems, project management, green building, insulation",2025-07-29
2044,FixItAll,"circuits, waterproofing, multi-trade skills",2025-06-13
2045,PlumbWell Services,"installation, electric systems, water systems, fabrication, metal cutting",2025-06-05
2046,SafeElectro,"testing, multi-trade skills, green building, blueprint reading, waterproofing",2025-07-06
2047,SafeElectro,"framing, waterproofing, electric systems, leadership",2025-07-02
2048,MegaConstruct,"concrete mixing, safety protocols, leadership",2025-07-17
2049,GreenBuild Tech,"electric systems, blueprint reading, pouring",2025-07-04
2050,QuickBuild,"safety, inspection, multi-trade skills",2025-06-30
2051,BuildRight Co.,"installation, project management, carpentry, repair, testing",2025-06-15
2052,MegaConstruct,"electric systems, pipe fitting, circuits, fabrication",2025-07-20
2053,FixItAll,"testing, waterproofing, solar panels",2025-06-07
2054,SteelWorks Inc.,"energy efficiency, insulation, plumbing",2025-07-23
2055,FixItAll,"safety, budgeting, water systems, insulation",2025-06-18
2056,SafeElectro,"drywall, insulation, electrician, masonry, water systems",2025-06-17
2057,ConcreteMasters,"waterproofing, reinforcement, safety protocols, masonry, budgeting",2025-07-12
2058,ConcreteMasters,"energy efficiency, fabrication, concrete mixing, safety",2025-07-25
2059,ABC Constructions,"welding, carpentry, masonry, waterproofing, safety protocols",2025-06-07
2060,QuickBuild,"pipe fitting, blueprint reading, HV lines, finishing, testing",2025-06-02
2061,FreshCo Homes,"energy efficiency, welding, testing",2025-06-13
2062,FreshCo Homes,"tools, waterproofing, green building, carpentry, installation",2025-07-01
2063,QuickBuild,"HV lines, inspection, fabrication",2025-06-02
2064,QuickBuild,"electric systems, maintenance, construction",2025-07-28
2065,GreenBuild Tech,"electrician, fabrication, energy efficiency, design",2025-07-17
2066,SteelWorks Inc.,"inspection, pipe fitting, circuits",2025-07-25
2067,PowerFix Ltd,"carpentry, maintenance, tiles, insulation, reinforcement",2025-07-03
2068,FreshCo Homes,"framing, circuit design, leadership",2025-06-11
2069,UrbanGrid Energy,"drywall, safety protocols, leadership",2025-07-06
2070,QuickBuild,"electric systems, safety protocols, carpentry, plumbing",2025-07-11
2071,PlumbWell Services,"design, electric systems, repair",2025-06-14
2072,PowerFix Ltd,"HV lines, welding, leadership",2025-07-27
2073,PlumbWell Services,"insulation, circuits, safety protocols, masonry, tiles",2025-07-15
2074,SafeElectro,"energy efficiency, project management, plumbing, testing, fabrication",2025-07-16
2075,PowerFix Ltd,"plumbing, circuits, water systems, safety",2025-07-21
2076,TilePro Solutions,"blueprint reading, metal cutting, leadership",2025-07-26
2077,MegaConstruct,"water systems, project management, maintenance, plumbing, blueprint reading",2025-06-12
2078,QuickBuild,"drywall, electric systems, electrician, tools",2025-07-07
2079,FreshCo Homes,"electric systems, circuit design, safety, pipe fitting, insulation",2025-06-15
2080,SteelWorks Inc.,"finishing, leadership, energy efficiency, fabrication, plumbing",2025-07-31
2081,PowerFix Ltd,"welding, circuits, safety protocols, HV lines, finishing",2025-07-06
2082,MegaConstruct,"testing, water systems, inspection",2025-07-30
2083,UrbanGrid Energy,"plumbing, HV lines, construction, framing",2025-07-08
2084,QuickBuild,"installation, welding, waterproofing, inspection",2025-06-11
2085,SafeElectro,"carpentry, solar panels, tiles, electrician, fabrication",2025-07-25
2086,MegaConstruct,"pouring, project management, HV lines",2025-07-19
2087,PowerLine Engineers,"electrician, budgeting, project management",2025-07-15
2088,SteelWorks Inc.,"energy efficiency, masonry, inspection, safety protocols",2025-06-19
2089,FixItAll,"circuit design, inspection, welding, water systems",2025-06-13
2090,ABC Constructions,"multi-trade skills, solar panels, finishing",2025-07-21
2091,PlumbWell Services,"masonry, repair, testing, budgeting, pipe fitting",2025-06-18
2092,MegaConstruct,"project management, reinforcement, budgeting, framing, green building",2025-06-21
2093,UrbanGrid Energy,"tiles, circuit design, welding, water systems, carpentry",2025-06-17
2094,FixItAll,"safety, reinforcement, concrete mixing, waterproofing",2025-07-04
2095,TilePro Solutions,"circuit design, fabrication, circuits, masonry",2025-06-21
2096,PlumbWell Services,"energy efficiency, carpentry, safety",2025-06-17
2097,PlumbWell Services,"HV lines, energy efficiency, repair, waterproofing",2025-06-12
2098,PowerFix Ltd,"safety, solar panels, repair, drywall, carpentry",2025-06-19
2099,FreshCo Homes,"tiles, welding, safety protocols",2025-07-24
2100,QuickBuild,"waterproofing, safety, electrician, repair, design",2025-07-17
